Discount Applied,Txn_Year,Txn_Month,Txn_Day,Txn_DayOfWeek,Txn_IsWeekend,Customer_Txn_Count,Customer_Avg_Quantity,Customer_Avg_Spent,Item_Target_Enc,Category_Target_Enc,Payment Method_Credit Card,Payment Method_Digital Wallet,Location_Online,Price_Spent_PCA,Quantity
1,-0.052545009001339245,0.47013359210690914,-1.5434714870760917,-0.5059735423448333,-0.6349987741905043,0.3109270541138414,0.4259045850886968,-0.06958235728112197,1.5954032846768829,-1.0240144528905495,0,1,1,1.0661204593477918,9.0
0,-1.2228323373867378,-0.3899369736252532,1.624006186192828,-1.5042653872225564,-0.6349987741905043,1.924431455622218,-1.0345458952427824,-0.4977536586856719,-0.4253624593485274,-1.0240144528905495,0,0,1,-0.09957084038071749,5.0
0,-0.052545009001339245,-0.10324678504786573,-0.9778504739923561,-0.5059735423448333,-0.6349987741905043,1.2478005775703183,0.09953174717796719,-1.1841578818278855,-0.45711589968300215,-0.9388082014931689,0,1,1,0.7502733121429688,5.0
0,-1.2228323373867378,-0.9633173507800281,1.7371303888095753,-0.006827619905971599,-0.6349987741905043,0.675266757680249,-1.0378000725893755,-0.6316639858488255,0.23715243826821178,-0.6940592022986742,0,0,0,-1.3605350236707603,4.0
0,-0.052545009001339245,0.47013359210690914,1.510881983576081,-1.005119464783695,-0.6349987741905043,-0.8861891147472122,-2.051758377370456,-1.3949227560015718,-0.23798071721924804,-1.0240144528905495,0,0,0,1.0438921228165474,8.0
0,-1.2228323373867378,1.0435139692616842,0.040267349558368117,1.4906101474106133,1.5748061896257965,-0.41775235301897384,0.27460138453493765,-0.7538360765538568,-0.2057949107343473,-0.8993692770628177,1,0,0,1.1430700937886868,7.0
0,-0.052545009001339245,-0.9633173507800281,-1.6565956896928389,-0.5059735423448333,-0.6349987741905043,-0.10546117853348161,-0.4692922351257134,-1.7033624960769558,1.1041674132010941,0.9083912628388404,0,1,0,0.4480989782913834,7.0
1,-0.052545009001339245,-1.2500075393574155,1.3977577809593338,-1.005119464783695,-0.6349987741905043,-0.41775235301897384,0.27460138453493765,-0.7538360765538568,1.1088071853047619,-0.6940592022986742,0,1,1,-0.22097714788410128,5.0
1,1.1177423193840592,0.1834434035295217,0.8321367678755981,-1.005119464783695,-0.6349987741905043,0.5191211704375029,-0.9370817742479616,-1.3674264732216015,0.6048608538040151,0.9897610513670666,0,1,1,-0.22097714788410128,5.0
0,-1.2228323373867378,1.0435139692616842,-0.2991052582918733,-0.006827619905971599,-0.6349987741905043,1.0396064612466567,0.9148949309976299,0.40926466703974596,0.5491346752998759,-0.6940592022986742,1,0,0,0.16107813967439183,2.0
